"Name","Census","PopTotal","Growth","GrowthRate"
"Seattle",608659,704352,95693,"0.1572"
"Bellevue",127887,141400,13513,"0.1057"
"Kent",118593,127514,8921,"0.0752"
"Renton",91900,100953,9053,"0.0985"
"Federal Way",89306,96757,7451,"0.0834"
"Kirkland",80585,87701,7116,"0.0883"
"Auburn ",70172,77472,7300,"0.1040"
"Sammamish",57441,63773,6332,"0.1102"
"Redmond",54315,62458,8143,"0.1499"
"Shoreline",53031,55333,2302,"0.0434"
"Burien",48072,50997,2925,"0.0608"
"Bothell ",39867,44546,4679,"0.1174"
"Issaquah",30440,37322,6882,"0.2261"
"Des Moines",29673,31172,1499,"0.0505"
"SeaTac",26909,28873,1964,"0.0730"
"Maple Valley",22686,25698,3012,"0.1328"
"Mercer Island",22699,25134,2435,"0.1073"
"Kenmore",20469,22357,1888,"0.0922"
"Covington",17565,20478,2913,"0.1658"
"Tukwila",19107,20033,926,"0.0485"
"Lake Forest Park",12602,13266,664,"0.0527"
"Snoqualmie",10670,13190,2520,"0.2362"
"Woodinville",10941,12000,1059,"0.0968"
"Enumclaw ",11092,11654,562,"0.0507"
"Newcastle",10368,11567,1199,"0.1156"
"Milton ",7129,7970,841,"0.1180"
"Duvall",6713,7701,988,"0.1472"
"Pacific ",6604,7122,518,"0.0784"
"North Bend",5846,6739,893,"0.1528"
"Normandy Park",6335,6651,316,"0.0499"
"Black Diamond",4151,4384,233,"0.0561"
"Clyde Hill",2988,3268,280,"0.0937"
"Medina",2967,3246,279,"0.0940"
"Algona",3014,3156,142,"0.0471"
"Carnation",1786,1995,209,"0.1170"
"Yarrow Point",1001,1096,95,"0.0949"
"Hunts Point",396,439,43,"0.1086"
"Beaux Arts Village",299,326,27,"0.0903"
"Skykomish",197,206,9,"0.0457"